Stake,X,Y,GPS name,elevation,start date,end date,Stake length (cm),Stake in ice 2022 (cm),Stake measured 2023 (cm),mass balance 2022-23 (cm i.e.),mass balance 2022-23 (m w.e.),Comment,
1,71.361863,38.74223,NS1-D23,4041.188965,7 Sep 2022,21 Sep 2023,,,,,,,
1,71.361783,38.742316,NS1-M22-23,4037.41333,21 Sep 2023,21 Sep 2023,600,533,537,-470,-4.23,,
2,71.365971,38.739648,NS2-D23,4138.575195,7 Sep 2022,21 Sep 2023,,,,,,,
2,71.365611,38.739703,NS2-M22-23,4129.936523,21 Sep 2023,21 Sep 2023,600,530,474,-404,-3.636,,
3,71.369703,38.739188,NS3-D23,4255.749512,7 Sep 2022,21 Sep 2023,,,,,,,
3,71.36963,38.739184,NS3-M22-23,4251.876953,21 Sep 2023,21 Sep 2023,600,531,359,-290,-2.61,,
4,71.37335,38.738759,NS4-D23,4320.617676,7 Sep 2022,21 Sep 2023,,,,,,,
4,71.373289,38.738786,NS4-M22-23,4316.293945,21 Sep 2023,21 Sep 2023,600,516,259,-175,-1.575,,
5,71.376119,38.738257,NS5-D23,4347.513672,7 Sep 2022,21 Sep 2023,,,,,,,
5,71.37606,38.73828,NS5-M22-23,4343.425293,21 Sep 2023,21 Sep 2023,400,354,198,-152,-1.368,,
6,71.376617,38.735548,SN6-M22-23,4382.536133,21 Sep 2023,21 Sep 2023,400,380,139,-119,-1.071,Not redrilled in 2023,
7,71.381514,38.739378,NS7-D23,4396.209961,7 Sep 2022,21 Sep 2023,,,,,,,
7,71.38138,38.739279,NS7-M22-23,4398.181641,21 Sep 2023,21 Sep 2023,400,366,138,-104,-0.936,"original measure 78cm, 60cm off, per pairedmeasurements in 2024",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Stake,X,Y,GPS name,elevation,start date,end date,Stake length (cm),Stake in ice 2023 (cm),Stake measured 2024 (cm),mass balance 2023-24 (cm i.e.),mass balance 2023-24 (m w.e.),Comment,
1,71.361863,38.74223,NS1-D23,4041.188965,21 Sep 2023,4 Sep 2024,600,600,312,-312,-2.808,,
1,,,NS1-24,,4 Sep 2024,,481,,,,,,
2,71.365971,38.739648,NS2-D23,4138.575195,21 Sep 2023,4 Sep 2024,600,600,223,-223,-2.007,,
2,,,NS2-24,4129.936523,4 Sep 2024,,600,563,,,,,
3,71.369703,38.739188,NS3-D23,4255.749512,21 Sep 2023,4 Sep 2024,600,600,200,-200,-1.8,,
3,71.36963,38.739184,NS3-M22-23,4251.876953,21 Sep 2023,4 Sep 2024,600,241,564,-205,-1.845,,
4,71.37335,38.738759,NS4-D23,4320.617676,21 Sep 2023,4 Sep 2024,600,600,72.5,-72.5,-0.6525,,
4,71.373289,38.738786,NS4-M22-23,4316.293945,21 Sep 2023,4 Sep 2024,600,341,325,-66,-0.594,,
5,71.376119,38.738257,NS5-D23,4347.513672,21 Sep 2023,4 Sep 2024,400,400,53,-53,-0.477,,
5,71.37606,38.73828,NS5-M22-23,4343.425293,21 Sep 2023,4 Sep 2024,400,202,257,-59,-0.531,,
6,71.376617,38.735548,SN6-M22-23,4382.536133,21 Sep 2023,4 Sep 2024,400,261,172,-33,-0.297,Not redrilled in 2023,
7,71.381514,38.739378,NS7-D23,4396.209961,21 Sep 2023,4 Sep 2024,400,400,85,-85,-0.765,,
7,71.38138,38.739279,NS7-M22-23,4398.181641,21 Sep 2023,4 Sep 2024,400,262,223.5,-85.5,-0.7695,,
8,,,NS8-24,,6 Sep 2024,,200,,107,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Stake,X,Y,GPS name,elevation,start date,end date,Stake length (cm),Stake in ice 2024 (cm),Stake measured 2025 (cm),mass balance 2024-25 (cm i.e.),mass balance 2024-25 (m w.e.),Comment,Stake in ice 2025 (cm)
1,71.361863,38.74223,NI 1-24,4041.188965,4 Sep 2024,3 Sep 2025,600,481,plus 481,-580,-5.22,totaly out no measure,
,71.362939,38.741813,NI 1-25,4067.706299,3 Sep 2025,,600,,,,,New stake,595
2,71.365971,38.739648,NI 2-24,4138.575195,4 Sep 2024,3 Sep 2025,600,600,492,-492,-4.428,,
2,71.365724,38.73966,NI 2-25,4126.80957,3 Sep 2025,,600,,,,,New stake,600
3,71.369703,38.739188,NI 3-24,4255.749512,21 Sep 2023,4 Sep 2024,600,400,570,-370,-3.33,,
3,71.369215,38.739268,NI 3-25,4233.829102,3 Sep 2025,,600,,,,,New stake,600
4,71.37335,38.738759,NI 4-24,4320.617676,4 Sep 2024,3 Sep 2025,600,600,320,-320,-2.88,,
4,71.372995,38.738883,NI 4-25,4313.064941,4 Sep 2025,,600,,,,,New stake,588
5,71.376119,38.738257,NI 5-24,4347.513672,4 Sep 2024,3 Sep 2025,400,400,299,-299,-2.691,,
5,71.375987,38.738293,NI 5-25,4340.986816,4 Sep 2025,,400,,,,,New stake,391
6,71.376617,38.735548,NI 6-24,4382.536133,4 Sep 2024,3 Sep 2025,400,228,378,-206,-1.854,,
6,71.376728,38.735352,NI 6-25,4342.51709,4 Sep 2025,,400,,,,,New stake,400
7,71.381514,38.739378,NI 7-24,4396.209961,4 Sep 2024,3 Sep 2025,400,315,356,-271,-2.439,,
7,71.381125,38.739402,NI 7-25,4387.202637,4 Sep 2025,,400,,,,,,391
8,,,NS8-24,,6 Sep 2024,,200,,107,,,,
