Stake,elevation,Mass_Balance_mwe,Year,elev_bin
1,4037.41333,-4.23,2022-23,"(4037.053, 4082.509]"
2,4129.936523,-3.636,2022-23,"(4127.605, 4172.701]"
3,4251.876953,-2.61,2022-23,"(4217.797, 4262.894]"
4,4316.293945,-1.575,2022-23,"(4307.99, 4353.086]"
5,4343.425293,-1.368,2022-23,"(4307.99, 4353.086]"
6,4382.536133,-1.071,2022-23,"(4353.086, 4398.182]"
7,4398.181641,-0.936,2022-23,"(4353.086, 4398.182]"
1,4041.188965,-2.808,2023-24,"(4037.053, 4082.509]"
2,4138.575195,-2.007,2023-24,"(4127.605, 4172.701]"
3,4251.876953,-1.845,2023-24,"(4217.797, 4262.894]"
3,4255.749512,-1.8,2023-24,"(4217.797, 4262.894]"
4,4316.293945,-0.594,2023-24,"(4307.99, 4353.086]"
4,4320.617676,-0.6525,2023-24,"(4307.99, 4353.086]"
5,4343.425293,-0.531,2023-24,"(4307.99, 4353.086]"
5,4347.513672,-0.477,2023-24,"(4307.99, 4353.086]"
6,4382.536133,-0.297,2023-24,"(4353.086, 4398.182]"
7,4396.209961,-0.765,2023-24,"(4353.086, 4398.182]"
7,4398.181641,-0.7695,2023-24,"(4353.086, 4398.182]"
1,4041.188965,-5.22,2024-25,"(4037.053, 4082.509]"
2,4138.575195,-4.428,2024-25,"(4127.605, 4172.701]"
3,4255.749512,-3.33,2024-25,"(4217.797, 4262.894]"
4,4320.617676,-2.88,2024-25,"(4307.99, 4353.086]"
5,4347.513672,-2.691,2024-25,"(4307.99, 4353.086]"
6,4382.536133,-1.854,2024-25,"(4353.086, 4398.182]"
7,4396.209961,-2.439,2024-25,"(4353.086, 4398.182]"
