Stake,elevation,Mass_Balance_mwe,Year
1,4037.41333,-4.23,2022-23
1,4041.188965,-2.808,2022-23
1,4041.188965,-5.22,2022-23
2,4129.936523,-3.636,2022-23
2,4138.575195,-2.007,2022-23
2,4138.575195,-4.428,2022-23
3,4251.876953,-2.61,2022-23
3,4255.749512,-1.8,2022-23
3,4251.876953,-1.845,2022-23
3,4255.749512,-3.33,2022-23
4,4316.293945,-1.575,2022-23
4,4320.617676,-0.6525,2022-23
4,4316.293945,-0.594,2022-23
4,4320.617676,-2.88,2022-23
5,4343.425293,-1.368,2022-23
5,4347.513672,-0.477,2022-23
5,4343.425293,-0.531,2022-23
5,4347.513672,-2.691,2022-23
6,4382.536133,-1.071,2022-23
6,4382.536133,-0.297,2022-23
6,4382.536133,-1.854,2022-23
7,4398.181641,-0.936,2022-23
7,4396.209961,-0.765,2022-23
7,4398.181641,-0.7695,2022-23
7,4396.209961,-2.439,2022-23
